,pisy,piab,beal,fasy,pipi,eugl,rops,popu,eugrur,piab(DE)
cR,0.152303496,0.168597033,0.190608779,0.051373436,0.171957818,0.249890074,0.24661449,0.055257481,0.204117167,0.10526535
rhow,203.5978121,180.0155603,258.982892,237.3752612,209.0229816,206.5401424,257.6439127,146.1815811,183.1185505,193.6178231
sla,20.09296471,20.00044034,35.28027353,70.02066135,23.71281362,25.88562561,45.75561945,59.47661807,26.02424445,20.35997692
k,0.250004708,0.274308678,0.260482331,0.260359518,0.266767788,0.277189578,0.287913095,0.293587959,0.222587319,0.252108283
vf,3.954104208,7.007780612,0.920119201,0.995872355,3.737717029,1.961241368,0.902917082,0.989521945,1.004187457,8.899772817
vr,1.47251214,0.600135059,0.599835556,2.440734706,0.790676722,0.401903238,0.765202712,0.766409722,0.404366253,1.7002118
c,0.211313101,0.201439957,0.294089233,0.204425121,0.271752441,0.200401373,0.287631614,0.207791519,0.205109392,0.256725807
mf,0.203287294,0.200002356,0.298541898,0.214669016,0.30457009,0.204382944,0.411514267,0.228413058,0.399223504,0.366805028
mr,0.21295445,0.202172544,0.412147143,0.232497872,0.408766119,0.494691668,0.266476959,0.281946456,0.361811051,0.403013306
mw,0.040562724,0.041952092,0.037671478,0.020088308,0.030313391,0.020416294,0.02155216,0.021923979,0.02145648,0.035836092
z,1.822696537,1.721269522,1.854376656,1.824284786,1.772685322,1.857322021,1.841235333,1.971003606,1.75957705,2.264734968
beta0,0.268082824,0.250029711,0.576860631,0.255251397,0.335725909,0.202280325,0.326855546,0.299262023,0.256080148,0.218809847
betab,0.396809524,0.499967334,0.376173835,0.49275261,0.395104574,0.297151745,0.490491576,0.348366895,0.388792131,0.498045663
betas,0.499660598,0.499484326,0.247919551,0.499718235,0.498882207,0.338423507,0.200111981,0.445408413,0.282923723,0.356462001
rhof2,180.4798251,200.2771305,108.1337207,84.96898479,108.1921489,299.9190356,104.6723355,157.6778994,298.2159489,328.5303151
s1,0.020698645,0.005047442,0.0529276,0.005122671,0.010613253,0.015274673,0.015663807,0.016181779,0.015950268,0.00862637
kRein,948.4178535,1199.15802,1063.562877,1198.33993,672.0397721,1375.98069,1180.852387,1315.101353,617.3465727,1088.116952
s0scale,0.530741932,0.757961313,0.486092718,0.291132061,0.59577223,0.34921536,0.535847359,0.318597647,0.896917787,0.457069088
x,0.8,0.6,0.8,0.714362708,0.72,0.989359517,0.900084211,0.944661382,0.989982075,0.736733264
aETS,0.687,0.874,0,0.022261418,0,0.966436454,0.919714248,0.003504272,0.951355453,0.626269764
alfar1,0.4,0.1,0.35,0.762233938,0.13,0.100677828,0.331516085,0.297756481,0.203558708,0.125490446
alfar2,0.44,0.28,0.5,0.818117344,0.33,0.249044302,0.566954087,0.380447231,0.219406227,0.27708523
alfar3,0.47,0.38,0.64,1.029416503,0.47,0.682600508,0.694243495,0.428789134,0.35113714,0.330812236
alfar4,0.64,0.48,0.75,1.216454381,0.64,0.796402043,0.768673015,0.468428346,0.506901017,0.495824023
alfar5,0.84,0.58,0.94,1.639228693,0.84,0.899747353,0.843102534,0.597870642,0.893191014,0.623558177
sarShp,1,2,1,1,1,1,1,1,1,2
S_branchMod,1,2,1,2,1,1,1,1,1,2
conifers=1 or decidous=2,1,1,2,1,1,2,2,2,2,1
p0_ref,1.4,1.4,1.4,1.4,1.4,3.1,1.5,1.5,3.1,1.4
ETS_ref,1250,1250,1250,1250,1250,5800,2855,2855,5800,1250
thetaMax,0.011534995,0.005461055,0.028294405,0.023087644,0,0.034559685,0.047822508,0.048016582,0.014469428,0.016323047
H0max,31.84452216,38.91679891,33.90740502,20.44251845,31.84393167,35.16093143,21.98403388,24.97203048,39.69879172,28.21344371
gamma,0.033635946,0.037376116,0.022209894,0.156912624,0.029203385,0.060732907,0.061856656,0.038961807,0.045439925,0.123708827
kH,0.000622462,0.000461865,0.00084546,0.00064042,0.000470316,0.000962956,0.000105076,0.000412673,0.000897902,0.000242806
decayVp1,-2.653,-2.948,-3.324,-2.948,-2.653,-3.324,-3.324,-3.324,-3.324,-2.948
decayVp2,0.055,0.059,0.135,0.059,0.055,0.135,0.135,0.135,0.135,0.059
decayVp3,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
ksi,0.057246369,0.089713094,0.043755957,0.035899753,0.070339277,0.0322303,0.011098704,0.031652341,0.058115759,0.044022402
sla0,20.09296471,20.00044034,35.28027353,20.00788979,40.56651551,40.96937266,45.75561945,59.47661807,40.0468376,20.02536
tsla,0,0,0,0,0,2.987999562,0,0,2.968459454,0
zb,1.097827781,0.810192205,0.866451971,0.962722532,1,1.195552315,0.958581963,0.818727858,1.189177125,1.085732672
aHdom,2.7801,4.1263,0,0,0,0.1149,0,0,0.1149,4.1263
bHdom,0.9395,0.9428,1.1,1.1,1.1,1.1508,1.1,1.1,1.1508,0.9428
decayVp4,1.191,0.912,1.091,1.091,1.091,1.091,1.091,1.091,1.091,0.912
fAa,1,1,1,1,1,1,1,1,1,1
fAb,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
fAc,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
